3.78E+01	-3.96E+01	2.32E+01	-2.48E+01
3.78E+01	-3.78E+01	2.37E+01	-2.37E+01
3.78E+01	-3.59E+01	2.40E+01	-2.24E+01
3.78E+01	-3.39E+01	2.42E+01	-2.10E+01
3.78E+01	-3.19E+01	2.44E+01	-1.95E+01
3.78E+01	-2.97E+01	2.45E+01	-1.80E+01
3.78E+01	-2.74E+01	2.47E+01	-1.65E+01
3.78E+01	-2.50E+01	2.49E+01	-1.49E+01
3.78E+01	-2.25E+01	2.51E+01	-1.34E+01
3.78E+01	-1.99E+01	2.53E+01	-1.18E+01
3.78E+01	-1.73E+01	2.55E+01	-1.02E+01
3.78E+01	-1.45E+01	2.56E+01	-8.55E+00
3.78E+01	-1.17E+01	2.58E+01	-6.88E+00
3.78E+01	-8.83E+00	2.59E+01	-5.18E+00
3.78E+01	-5.91E+00	2.60E+01	-3.47E+00
3.78E+01	-2.96E+00	2.61E+01	-1.74E+00
3.78E+01	0.00E+00	2.61E+01	0.00E+00
3.78E+01	2.96E+00	2.61E+01	1.74E+00
3.78E+01	5.91E+00	2.60E+01	3.47E+00
3.78E+01	8.83E+00	2.59E+01	5.18E+00
3.78E+01	1.17E+01	2.58E+01	6.88E+00
3.78E+01	1.45E+01	2.56E+01	8.55E+00
3.78E+01	1.73E+01	2.55E+01	1.02E+01
3.78E+01	1.99E+01	2.53E+01	1.18E+01
3.78E+01	2.25E+01	2.51E+01	1.34E+01
3.78E+01	2.50E+01	2.49E+01	1.49E+01
3.78E+01	2.74E+01	2.47E+01	1.65E+01
3.78E+01	2.97E+01	2.45E+01	1.80E+01
3.78E+01	3.19E+01	2.44E+01	1.95E+01
3.78E+01	3.39E+01	2.42E+01	2.10E+01
3.78E+01	3.59E+01	2.40E+01	2.24E+01
3.78E+01	3.78E+01	2.37E+01	2.37E+01
3.78E+01	3.96E+01	2.32E+01	2.48E+01
3.78E+01	4.14E+01	2.28E+01	2.59E+01
3.78E+01	4.30E+01	1.99E+01	2.40E+01
3.78E+01	4.45E+01	1.93E+01	2.45E+01
3.96E+01	-4.45E+01	1.26E+01	-1.52E+01
3.96E+01	-4.30E+01	2.11E+01	-2.38E+01
3.96E+01	-4.14E+01	2.33E+01	-2.48E+01
3.96E+01	-3.96E+01	2.40E+01	-2.40E+01
3.96E+01	-3.78E+01	2.48E+01	-2.32E+01
3.96E+01	-3.59E+01	2.52E+01	-2.21E+01
3.96E+01	-3.39E+01	2.55E+01	-2.07E+01
3.96E+01	-3.19E+01	2.57E+01	-1.93E+01
3.96E+01	-2.97E+01	2.59E+01	-1.78E+01
3.96E+01	-2.74E+01	2.61E+01	-1.63E+01
3.96E+01	-2.50E+01	2.63E+01	-1.48E+01
3.96E+01	-2.25E+01	2.64E+01	-1.32E+01
3.96E+01	-1.99E+01	2.66E+01	-1.16E+01
3.96E+01	-1.73E+01	2.67E+01	-1.00E+01
3.96E+01	-1.45E+01	2.69E+01	-8.40E+00
3.96E+01	-1.17E+01	2.70E+01	-6.75E+00
3.96E+01	-8.83E+00	2.71E+01	-5.08E+00
3.96E+01	-5.91E+00	2.72E+01	-3.40E+00
3.96E+01	-2.96E+00	2.72E+01	-1.70E+00
3.96E+01	0.00E+00	2.73E+01	0.00E+00
3.96E+01	2.96E+00	2.72E+01	1.70E+00
3.96E+01	5.91E+00	2.72E+01	3.40E+00
3.96E+01	8.83E+00	2.71E+01	5.08E+00
3.96E+01	1.17E+01	2.70E+01	6.75E+00
3.96E+01	1.45E+01	2.69E+01	8.40E+00
3.96E+01	1.73E+01	2.67E+01	1.00E+01
3.96E+01	1.99E+01	2.66E+01	1.16E+01
3.96E+01	2.25E+01	2.64E+01	1.32E+01
3.96E+01	2.50E+01	2.63E+01	1.48E+01
3.96E+01	2.74E+01	2.61E+01	1.63E+01
3.96E+01	2.97E+01	2.59E+01	1.78E+01
3.96E+01	3.19E+01	2.57E+01	1.93E+01
3.96E+01	3.39E+01	2.55E+01	2.07E+01
3.96E+01	3.59E+01	2.52E+01	2.21E+01
3.96E+01	3.78E+01	2.48E+01	2.32E+01
3.96E+01	3.96E+01	2.40E+01	2.40E+01
3.96E+01	4.14E+01	2.33E+01	2.48E+01
3.96E+01	4.30E+01	2.11E+01	2.38E+01
3.96E+01	4.45E+01	1.26E+01	1.52E+01
4.14E+01	-4.30E+01	1.78E+01	-1.90E+01
4.14E+01	-4.14E+01	2.26E+01	-2.26E+01
4.14E+01	-3.96E+01	2.37E+01	-2.23E+01
4.14E+01	-3.78E+01	2.54E+01	-2.24E+01
4.14E+01	-3.59E+01	2.62E+01	-2.16E+01
4.14E+01	-3.39E+01	2.67E+01	-2.04E+01
4.14E+01	-3.19E+01	2.70E+01	-1.91E+01
4.14E+01	-2.97E+01	2.73E+01	-1.76E+01
4.14E+01	-2.74E+01	2.75E+01	-1.61E+01
4.14E+01	-2.50E+01	2.76E+01	-1.46E+01
4.14E+01	-2.25E+01	2.78E+01	-1.31E+01
4.14E+01	-1.99E+01	2.79E+01	-1.15E+01
4.14E+01	-1.73E+01	2.80E+01	-9.89E+00
4.14E+01	-1.45E+01	2.81E+01	-8.28E+00
4.14E+01	-1.17E+01	2.82E+01	-6.65E+00
4.14E+01	-8.83E+00	2.83E+01	-5.00E+00
4.14E+01	-5.91E+00	2.84E+01	-3.34E+00
4.14E+01	-2.96E+00	2.84E+01	-1.67E+00
4.14E+01	0.00E+00	2.84E+01	0.00E+00
4.14E+01	2.96E+00	2.84E+01	1.67E+00
4.14E+01	5.91E+00	2.84E+01	3.34E+00
4.14E+01	8.83E+00	2.83E+01	5.00E+00
4.14E+01	1.17E+01	2.82E+01	6.65E+00
4.14E+01	1.45E+01	2.81E+01	8.28E+00
4.14E+01	1.73E+01	2.80E+01	9.89E+00
4.14E+01	1.99E+01	2.79E+01	1.15E+01
4.14E+01	2.25E+01	2.78E+01	1.31E+01
4.14E+01	2.50E+01	2.76E+01	1.46E+01
4.14E+01	2.74E+01	2.75E+01	1.61E+01
4.14E+01	2.97E+01	2.73E+01	1.76E+01
4.14E+01	3.19E+01	2.70E+01	1.91E+01
4.14E+01	3.39E+01	2.67E+01	2.04E+01
4.14E+01	3.59E+01	2.62E+01	2.16E+01
4.14E+01	3.78E+01	2.54E+01	2.24E+01
4.14E+01	3.96E+01	2.37E+01	2.23E+01
4.14E+01	4.14E+01	2.26E+01	2.26E+01
4.14E+01	4.30E+01	1.78E+01	1.90E+01
4.30E+01	-4.14E+01	1.50E+01	-1.44E+01
4.30E+01	-3.96E+01	2.00E+01	-1.78E+01
4.30E+01	-3.78E+01	2.47E+01	-2.06E+01
4.30E+01	-3.59E+01	2.67E+01	-2.07E+01
4.30E+01	-3.39E+01	2.76E+01	-1.99E+01
4.30E+01	-3.19E+01	2.81E+01	-1.87E+01
4.30E+01	-2.97E+01	2.85E+01	-1.74E+01
4.30E+01	-2.74E+01	2.87E+01	-1.60E+01
4.30E+01	-2.50E+01	2.89E+01	-1.45E+01
4.30E+01	-2.25E+01	2.91E+01	-1.29E+01
4.30E+01	-1.99E+01	2.92E+01	-1.14E+01
4.30E+01	-1.73E+01	2.93E+01	-9.78E+00
4.30E+01	-1.45E+01	2.94E+01	-8.17E+00
4.30E+01	-1.17E+01	2.95E+01	-6.56E+00
4.30E+01	-8.83E+00	2.96E+01	-4.93E+00
4.30E+01	-5.91E+00	2.96E+01	-3.29E+00
4.30E+01	-2.96E+00	2.97E+01	-1.65E+00
4.30E+01	0.00E+00	2.97E+01	0.00E+00
4.30E+01	2.96E+00	2.97E+01	1.65E+00
4.30E+01	5.91E+00	2.96E+01	3.29E+00
4.30E+01	8.83E+00	2.96E+01	4.93E+00
4.30E+01	1.17E+01	2.95E+01	6.56E+00
4.30E+01	1.45E+01	2.94E+01	8.17E+00
4.30E+01	1.73E+01	2.93E+01	9.78E+00
4.30E+01	1.99E+01	2.92E+01	1.14E+01
4.30E+01	2.25E+01	2.91E+01	1.29E+01
4.30E+01	2.50E+01	2.89E+01	1.45E+01
4.30E+01	2.74E+01	2.87E+01	1.60E+01
4.30E+01	2.97E+01	2.85E+01	1.74E+01
4.30E+01	3.19E+01	2.81E+01	1.87E+01
4.30E+01	3.39E+01	2.76E+01	1.99E+01
4.30E+01	3.59E+01	2.67E+01	2.07E+01
4.30E+01	3.78E+01	2.47E+01	2.06E+01
4.30E+01	3.96E+01	2.00E+01	1.78E+01
4.30E+01	4.14E+01	1.50E+01	1.44E+01
4.45E+01	-3.59E+01	2.50E+01	-1.85E+01
4.45E+01	-3.19E+01	2.87E+01	-1.81E+01
4.45E+01	-2.97E+01	2.94E+01	-1.70E+01
4.45E+01	-2.74E+01	2.98E+01	-1.57E+01
4.45E+01	-2.50E+01	3.01E+01	-1.42E+01
4.45E+01	-2.25E+01	3.03E+01	-1.28E+01
4.45E+01	-1.99E+01	3.05E+01	-1.12E+01
4.45E+01	-1.73E+01	3.06E+01	-9.66E+00
4.45E+01	-1.45E+01	3.07E+01	-8.08E+00
4.45E+01	-1.17E+01	3.08E+01	-6.48E+00
4.45E+01	-8.83E+00	3.09E+01	-4.87E+00
4.45E+01	-5.91E+00	3.09E+01	-3.25E+00
4.45E+01	-2.96E+00	3.09E+01	-1.63E+00
4.45E+01	0.00E+00	3.09E+01	0.00E+00
4.45E+01	2.96E+00	3.09E+01	1.63E+00
4.45E+01	5.91E+00	3.09E+01	3.25E+00
4.45E+01	8.83E+00	3.09E+01	4.87E+00
4.45E+01	1.17E+01	3.08E+01	6.48E+00
4.45E+01	1.45E+01	3.07E+01	8.08E+00
4.45E+01	1.73E+01	3.06E+01	9.66E+00
4.45E+01	1.99E+01	3.05E+01	1.12E+01
4.45E+01	2.25E+01	3.03E+01	1.28E+01
4.45E+01	2.50E+01	3.01E+01	1.42E+01
4.45E+01	2.74E+01	2.98E+01	1.57E+01
4.45E+01	2.97E+01	2.94E+01	1.70E+01
4.45E+01	3.19E+01	2.87E+01	1.81E+01
4.45E+01	3.59E+01	2.50E+01	1.85E+01
4.60E+01	-3.59E+01	1.62E+01	-1.14E+01
4.60E+01	-3.39E+01	2.40E+01	-1.56E+01
4.60E+01	-3.19E+01	2.80E+01	-1.68E+01
4.60E+01	-2.97E+01	2.96E+01	-1.63E+01
4.60E+01	-2.74E+01	3.04E+01	-1.52E+01
4.60E+01	-2.50E+01	3.09E+01	-1.39E+01
4.60E+01	-2.25E+01	3.13E+01	-1.25E+01
4.60E+01	-1.99E+01	3.16E+01	-1.10E+01
4.60E+01	-1.73E+01	3.17E+01	-9.52E+00
4.60E+01	-1.45E+01	3.19E+01	-7.97E+00
4.60E+01	-1.17E+01	3.20E+01	-6.40E+00
4.60E+01	-8.83E+00	3.21E+01	-4.81E+00
4.60E+01	-5.91E+00	3.21E+01	-3.21E+00
4.60E+01	-2.96E+00	3.22E+01	-1.61E+00
4.60E+01	0.00E+00	3.22E+01	0.00E+00
4.60E+01	2.96E+00	3.22E+01	1.61E+00
4.60E+01	5.91E+00	3.21E+01	3.21E+00
4.60E+01	8.83E+00	3.21E+01	4.81E+00
4.60E+01	1.17E+01	3.20E+01	6.40E+00
4.60E+01	1.45E+01	3.19E+01	7.97E+00
4.60E+01	1.73E+01	3.17E+01	9.52E+00
4.60E+01	1.99E+01	3.16E+01	1.10E+01
4.60E+01	2.25E+01	3.13E+01	1.25E+01
4.60E+01	2.50E+01	3.09E+01	1.39E+01
4.60E+01	2.74E+01	3.04E+01	1.52E+01
4.60E+01	2.97E+01	2.96E+01	1.63E+01
4.60E+01	3.19E+01	2.80E+01	1.68E+01
4.60E+01	3.39E+01	2.40E+01	1.56E+01
4.60E+01	3.59E+01	1.62E+01	1.14E+01
